"bloodhost","replicates"
"Homo_sapiens",197
"Bos_taurus",131
"Gallus_gallus",124
"Equus_caballus",117
"Canis_lupus_familiaris",106
"bird",58
"Didelphis_marsupialis",53
"Primates",51
"Rattus_rattus",51
"non-human-primate",38
"Felis_catus",34
"Odocoileus_virginianus",31
"Sus_scrofa",31
"Cardinalis_cardinalis",27
"Procyon_lotor",27
"Rattus_norvegicus",27
"Sylvilagus_floridanus",25
"Turdus_migratorius",23
"Didelphis_virginiana",19
"Rattus_sp",19
"Zenaida_macroura",17
"Bufo_bufo",14
"Quiscalus_quiscula",14
"Sciurus_carolinensis",14
"Sturnus_vulgaris",14
"Passer_domesticus",13
"Mimus_polyglottos",12
"Ardea_herodias",11
"Dumetella_carolinensis",11
"Hydrochoerus_hydrochaeris",10
"Hylocichla_mustelina",10
"Meleagris_gallopavo",10
"Nycticorax_nycticorax",10
"Piranga_olivacea",10
"Poecile_atricapillus",10
"Baeolophus_bicolor",9
"Butorides_virescens",9
"Molothrus_ater",9
"monkey",9
"Nyctanassa_violacea",9
"Tropidurus_sp",8
"Agelaius_phoeniceus",7
"Anolis_carolinensis",7
"Ardea_alba",7
"Bombycilla_cedrorum",7
"Dasypus_novemcinctus",7
"Didelphis_sp",7
"Haemorhous_mexicanus",7
"Spizella_passerina",7
"turtle",7
"Anhinga_anhinga",6
"Anura",6
"Carpodacus_mexicanus",6
"Cathartes_aura",6
"Corvus_brachyrhynchos",6
"Melospiza_melodia",6
"Troglodytes_aedon",6
"Alligator_mississippiensis",5
"Anas_platyrhynchos",5
"Anolis_sagrei",5
"Botaurus_lentiginosus",5
"Capra_hircus",5
"Catharus_fuscescens",5
"Cyanocitta_cristata",5
"Dendrocygna_autumnalis",5
"Megascops_asio",5
"Mycteria_americana",5
"Neotoma_floridana",5
"Ovis_aries",5
"Toxostoma_rufum",5
"Vireo_olivaceus",5
"Aix_sponsa",4
"Branta_canadensis",4
"Buteo_jamaicensis",4
"Coluber_constrictor",4
"Columba_livia",4
"Icterus_galbula",4
"Iguana_iguana",4
"Lithobates_catesbeianus",4
"Phalacrocrorax_auritus",4
"Pheucticus_ludovicianus",4
"Poecile_carolinensis",4
"Seiurus_aurocapilla",4
"Spizella_pusilla",4
"Accipiter_cooperii",3
"Accipiter_striatus",3
"Bubo_virginianus",3
"Coereba_flaveola",3
"Galliformes",3
"Gallinula_chloropus",3
"Geothlypis_trichas",3
"Hyla_cinerea",3
"Mniotilta_varia",3
"Osteopilus_septentrionalis",3
"Phasianus_colchicus",3
"Podilymbus_podiceps",3
"Sylvilagus_aquaticus",3
"Sylvilagus_palustris",3
"Terrapene_carolina",3
"Toxostoma_curvirostre",3
"Vireo_flavifrons",3
"Vireo_gilvus",3
"Zenaida_asiatica",3
"Agkistrodon_piscivorus",2
"Aramus_guarauna",2
"Cairina_moschata",2
"Caluromys_philander",2
"Catharus_guttatus",2
"Coccyzus_americanus",2
"Coccyzus_erythropthalmus",2
"Crotalus_horridus",2
"Dendroica_coronata",2
"Dolichonyx_oryzivorus",2
"Dryophytes_chrysoscelis",2
"Dryophytes_cinereus",2
"Dryophytes_femoralis",2
"Egretta_caerulea",2
"Egretta_thula",2
"Eudocimus_albus",2
"Herpestes_auropunctatus",2
"Hirundo_rustica",2
"Lithobates_clamitans",2
"Lithobates_sp",2
"Lithobates_sphenocephalus",2
"Nerodia_erythrogaster",2
"Nerodia_fasciata",2
"Ortalis_cinereiceps",2
"Parus_carolinensis",2
"Passerina_cyanea",2
"Peromyscus_leucopus",2
"Pseudacris_crucifer",2
"Rodentia",2
"Sayornis_phoebe",2
"Scolopax_minor",2
"Seiurus_noveboracensis",2
"Serinus_canaria_domestica",2
"Setophaga_pinus",2
"Sialia_sialis",2
"Spinus_tristis",2
"Strix_varia",2
"Sturnira_hondurensis",2
"Thamnophis_sauritus_sauritus",2
"Tiaris_bicolor",2
"Tyrannus_verticalis",2
"Vermivora_peregrina",2
"Vireo_griseus",2
"Zenaida_auriculata",2
"Anas_discors",1
"Anaxyrus_terrestris",1
"Anolis_equestris",1
"Anser_cygnoides",1
"Aphelocoma_californica",1
"Aramides_cajanea",1
"Archilochus_colubris",1
"Ardea_cocoi",1
"Botaurus_pinnatus",1
"Bubalus_bubalis",1
"Bubulcus_ibis",1
"Bufo_terrestris",1
"Buteo_lineatus",1
"Butorides_striata",1
"Calypte_anna",1
"Carolina_sp",1
"Castor_canadensis",1
"Catharus_ustulatus",1
"Chaetura_pelagica",1
"Cochlearius_cochlearius",1
"Colaptes_auratus",1
"Contopus_virens",1
"Coragyps_atratus",1
"Crocodylus_acutus",1
"Dasyprocta_leporina",1
"Dendroica_discolor",1
"Dendroica_pensylvanica",1
"Dendroica_petechia",1
"Dendroica_pinu",1
"Dendroica_virens",1
"Didelphus_marsupialis",1
"Dryophytes_avivoca",1
"Dryophytes_gratiosus",1
"Dryophytes_squirellus",1
"Elaphe_obsoleta",1
"Empidonax_minimus",1
"Empidonax_traillii",1
"Empidonax_virescens",1
"Euphagus_cyanocephalus",1
"Falco_sparverius",1
"Gallinago_delicata",1
"Gavia_immer",1
"Geothlypis_formosa",1
"Glaucidium_brasilianum",1
"Glaucomys_volans",1
"Hyla_femoralis",1
"Hyla_versicolor",1
"Icterus_spurius",1
"Ixobrychus_exilis",1
"Kinosternon_baurii",1
"Lanius_ludovicianus",1
"Liodytes_rigida_rigida",1
"Lithobates_capito",1
"Lithobates_grylio",1
"Lontra_canadensis",1
"Loxia_leucoptera",1
"Loxigilla_noctis",1
"Mazama_americana",1
"Melopsittacus_undulatus",1
"Melospiza_georgiana",1
"Melospiza_lincolnii",1
"Mephitis_mephitis",1
"Metachirus_nudicaudatus",1
"Myoprocta_pratti",1
"Myoprocta_prattis",1
"Ortalis_vetula",1
"Oryctolagus_cuniculus_domesticus",1
"Pandion_haliaetus",1
"Pantherophis_obsoletus",1
"Parula_americana",1
"Passerculus_sandwichensis",1
"Passerina_caerulea",1
"Phimosus_infuscatus",1
"Pica_nuttalli",1
"Picoides_nuttallii",1
"Pipilo_erythrophthalmus",1
"Pipistrellus_subflavus",1
"Piranga_rubra",1
"Pneucticus_ludovicianus",1
"Polioptila_caerulea",1
"Quiscalus_quiscalus",1
"Rallus_limicola",1
"Regulus_calendula",1
"Rhinoclemmys_punctularia",1
"Sayornis_nigricans",1
"Sceloporus_undulatus",1
"Setophaga_citrina",1
"Setophaga_pensylvanica",1
"Setophaga_ruticilla",1
"Setophaga_striata",1
"Sitta_carollinensis",1
"Storeria_dekayi",1
"Tachycineta_bicolor",1
"Taraba_major",1
"Thamnophilus_doliatus",1
"Thryothorus_ludovicianus",1
"Tonatia_bidens",1
"Trachemys_scripta",1
"Trachemys_scripta_elegans",1
"Tyto_alba",1
"Uroderma_bilobatum",1
"Vermivora_celata",1
"Vermivora_pinus",1
"Vireo_solitarius",1
"Zonotrichia_leucophrys",1
