PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28051192","Global Warming and Its Health Impact","Rossati A.","Int J Occup Environ Med. 2017 Jan;8(1):7-20. doi: 10.15171/ijoem.2017.963.","Rossati A","Int J Occup Environ Med","2017","2017/01/05","PMC6679631","","10.15171/ijoem.2017.963"
"27580489","Complexity of virus-vector interactions","Kramer LD.","Curr Opin Virol. 2016 Dec;21:81-86. doi: 10.1016/j.coviro.2016.08.008. Epub 2016 Aug 28.","Kramer LD","Curr Opin Virol","2016","2016/09/01","PMC5138088","NIHMS813725","10.1016/j.coviro.2016.08.008"
"31401192","A patent perspective on chikungunya","Dapurkar D, Telang M.","Acta Trop. 2019 Nov;199:105131. doi: 10.1016/j.actatropica.2019.105131. Epub 2019 Aug 8.","Dapurkar D","Acta Trop","2019","2019/08/12","","","10.1016/j.actatropica.2019.105131"
"30474300","Mosquito bloodmeal preferences in two zoological gardens in Germany","Heym EC, Kampen H, Schäfer M, Walther D.","Med Vet Entomol. 2019 Jun;33(2):203-212. doi: 10.1111/mve.12350. Epub 2018 Nov 25.","Heym EC","Med Vet Entomol","2019","2018/11/27","","","10.1111/mve.12350"
"31628631","Evidence that Passerine Birds Act as Amplifying Hosts for Usutu Virus Circulation","Roiz D, Vázquez A, Ruiz S, Tenorio A, Soriguer R, Figuerola J.","Ecohealth. 2019 Dec;16(4):734-742. doi: 10.1007/s10393-019-01441-3. Epub 2019 Oct 18.","Roiz D","Ecohealth","2019","2019/10/20","","","10.1007/s10393-019-01441-3"
"30107815","Bionomics and vectorial role of anophelines in wetlands along the volcanic chain of Cameroon","Amvongo-Adjia N, Wirsiy EL, Riveron JM, Chounna Ndongmo WP, Enyong PA, Njiokou F, Wondji CS, Wanji S.","Parasit Vectors. 2018 Aug 14;11(1):471. doi: 10.1186/s13071-018-3041-z.","Amvongo-Adjia N","Parasit Vectors","2018","2018/08/16","PMC6092805","","10.1186/s13071-018-3041-z"
"29216368","Ross River Virus and the Necessity of Multiscale, Eco-epidemiological Analyses","Flies EJ, Weinstein P, Anderson SJ, Koolhof I, Foufopoulos J, Williams CR.","J Infect Dis. 2018 Feb 14;217(5):807-815. doi: 10.1093/infdis/jix615.","Flies EJ","J Infect Dis","2018","2017/12/08","","","10.1093/infdis/jix615"
"31790509","Intra-host growth kinetics of dengue virus in the mosquito Aedes aegypti","Novelo M, Hall MD, Pak D, Young PR, Holmes EC, McGraw EA.","PLoS Pathog. 2019 Dec 2;15(12):e1008218. doi: 10.1371/journal.ppat.1008218. eCollection 2019 Dec.","Novelo M","PLoS Pathog","2019","2019/12/03","PMC6907869","","10.1371/journal.ppat.1008218"
"30875617","The antimalarial screening landscape-looking beyond the asexual blood stage","Yahiya S, Rueda-Zubiaurre A, Delves MJ, Fuchter MJ, Baum J.","Curr Opin Chem Biol. 2019 Jun;50:1-9. doi: 10.1016/j.cbpa.2019.01.029. Epub 2019 Mar 12.","Yahiya S","Curr Opin Chem Biol","2019","2019/03/16","PMC6591700","","10.1016/j.cbpa.2019.01.029"
"31335440","Fractional-dose yellow fever vaccination: how much more can we do with less?","Visser LG.","Curr Opin Infect Dis. 2019 Oct;32(5):390-393. doi: 10.1097/QCO.0000000000000576.","Visser LG","Curr Opin Infect Dis","2019","2019/07/24","","","10.1097/QCO.0000000000000576"
"29920164","Forage Ratio Analysis of the Southern House Mosquito in College Station, Texas","Komar N, Panella NA, Golnar AJ, Hamer GL.","Vector Borne Zoonotic Dis. 2018 Sep;18(9):485-490. doi: 10.1089/vbz.2018.2285. Epub 2018 Jun 19.","Komar N","Vector Borne Zoonotic Dis","2018","2018/06/20","","","10.1089/vbz.2018.2285"
"31866311","Effect of deforestation on prevalence of avian haemosporidian parasites and mosquito abundance in a tropical rainforest of Cameroon","Tchoumbou MA, Mayi MPA, Malange ENF, Foncha FD, Kowo C, Fru-Cho J, Tchuinkam T, Awah-Ndukum J, Dorazio R, Nota Anong D, Cornel AJ, Sehgal RNM.","Int J Parasitol. 2020 Jan;50(1):63-73. doi: 10.1016/j.ijpara.2019.10.006. Epub 2019 Dec 19.","Tchoumbou MA","Int J Parasitol","2020","2019/12/24","","","10.1016/j.ijpara.2019.10.006"
"29631602","Primary blood-hosts of mosquitoes are influenced by social and ecological conditions in a complex urban landscape","Goodman H, Egizi A, Fonseca DM, Leisnham PT, LaDeau SL.","Parasit Vectors. 2018 Apr 10;11(1):218. doi: 10.1186/s13071-018-2779-7.","Goodman H","Parasit Vectors","2018","2018/04/11","PMC5891940","","10.1186/s13071-018-2779-7"
"30954453","Highly heterogeneous residual malaria risk in western Thailand","Nguitragool W, Karl S, White M, Koepfli C, Felger I, Singhasivanon P, Mueller I, Sattabongkot J.","Int J Parasitol. 2019 May;49(6):455-462. doi: 10.1016/j.ijpara.2019.01.004. Epub 2019 Apr 4.","Nguitragool W","Int J Parasitol","2019","2019/04/08","PMC6996282","","10.1016/j.ijpara.2019.01.004"
"30041410","Detection of Usutu, Sindbis, and Batai Viruses in Mosquitoes (Diptera: Culicidae) Collected in Germany, 2011⁻2016","Scheuch DE, Schäfer M, Eiden M, Heym EC, Ziegler U, Walther D, Schmidt-Chanasit J, Keller M, Groschup MH, Kampen H.","Viruses. 2018 Jul 23;10(7):389. doi: 10.3390/v10070389.","Scheuch DE","Viruses","2018","2018/07/26","PMC6070890","","10.3390/v10070389"
"29466989","Sweet attraction: sugarcane pollen-associated volatiles attract gravid Anopheles arabiensis","Wondwosen B, Birgersson G, Tekie H, Torto B, Ignell R, Hill SR.","Malar J. 2018 Feb 21;17(1):90. doi: 10.1186/s12936-018-2245-1.","Wondwosen B","Malar J","2018","2018/02/23","PMC5822481","","10.1186/s12936-018-2245-1"
"30261932","Exploring malaria vector diversity on the Amazon Frontier","Bourke BP, Conn JE, de Oliveira TMP, Chaves LSM, Bergo ES, Laporta GZ, Sallum MAM.","Malar J. 2018 Sep 27;17(1):342. doi: 10.1186/s12936-018-2483-2.","Bourke BP","Malar J","2018","2018/09/29","PMC6161421","","10.1186/s12936-018-2483-2"
"31042734","Simplification of vector communities during suburban succession","Spence Beaulieu MR, Hopperstad K, Dunn RR, Reiskind MH.","PLoS One. 2019 May 1;14(5):e0215485. doi: 10.1371/journal.pone.0215485. eCollection 2019.","Spence Beaulieu MR","PLoS One","2019","2019/05/03","PMC6493735","","10.1371/journal.pone.0215485"
"29535293","Integrated analysis of human-animal-vector surveillance: West Nile virus infections in Austria, 2015-2016","Kolodziejek J, Jungbauer C, Aberle SW, Allerberger F, Bagó Z, Camp JV, Dimmel K, de Heus P, Kolodziejek M, Schiefer P, Seidel B, Stiasny K, Nowotny N.","Emerg Microbes Infect. 2018 Mar 14;7(1):25. doi: 10.1038/s41426-018-0021-5.","Kolodziejek J","Emerg Microbes Infect","2018","2018/03/15","PMC5849732","","10.1038/s41426-018-0021-5"
"27704330","Day-to-Day Population Movement and the Management of Dengue Epidemics","Falcón-Lezama JA, Martínez-Vega RA, Kuri-Morales PA, Ramos-Castañeda J, Adams B.","Bull Math Biol. 2016 Oct;78(10):2011-2033. doi: 10.1007/s11538-016-0209-6. Epub 2016 Oct 4.","Falcón-Lezama JA","Bull Math Biol","2016","2016/10/06","PMC5069346","","10.1007/s11538-016-0209-6"
"31101131","Genetic diversity of Nyssorhynchus (Anopheles) darlingi related to biting behavior in western Amazon","Campos M, Alonso DP, Conn JE, Vinetz JM, Emerson KJ, Ribolla PEM.","Parasit Vectors. 2019 May 17;12(1):242. doi: 10.1186/s13071-019-3498-4.","Campos M","Parasit Vectors","2019","2019/05/19","PMC6525393","","10.1186/s13071-019-3498-4"
"27457093","The interplay of vaccination and vector control on small dengue networks","Hendron RS, Bonsall MB.","J Theor Biol. 2016 Oct 21;407:349-361. doi: 10.1016/j.jtbi.2016.07.034. Epub 2016 Jul 22.","Hendron RS","J Theor Biol","2016","2016/07/27","PMC5016021","","10.1016/j.jtbi.2016.07.034"
"31199156","Analysis of the Zika and Japanese Encephalitis Virus NS5 Interactomes","Kovanich D, Saisawang C, Sittipaisankul P, Ramphan S, Kalpongnukul N, Somparn P, Pisitkun T, Smith DR.","J Proteome Res. 2019 Aug 2;18(8):3203-3218. doi: 10.1021/acs.jproteome.9b00318. Epub 2019 Jun 27.","Kovanich D","J Proteome Res","2019","2019/06/15","","","10.1021/acs.jproteome.9b00318"
"29596468","Investigation of the seasonal microbiome of Anopheles coluzzii mosquitoes in Mali","Krajacich BJ, Huestis DL, Dao A, Yaro AS, Diallo M, Krishna A, Xu J, Lehmann T.","PLoS One. 2018 Mar 29;13(3):e0194899. doi: 10.1371/journal.pone.0194899. eCollection 2018.","Krajacich BJ","PLoS One","2018","2018/03/30","PMC5875798","","10.1371/journal.pone.0194899"
"28855386","Human movement, cooperation and the effectiveness of coordinated vector control strategies","Stone CM, Schwab SR, Fonseca DM, Fefferman NH.","J R Soc Interface. 2017 Aug;14(133):20170336. doi: 10.1098/rsif.2017.0336.","Stone CM","J R Soc Interface","2017","2017/09/01","PMC5582128","","10.1098/rsif.2017.0336"
"31905866","Influence of Forest Disturbance on La Crosse Virus Risk in Southwestern Virginia","Hopkins MC, Zink SD, Paulson SL, Hawley DM.","Insects. 2019 Dec 30;11(1):28. doi: 10.3390/insects11010028.","Hopkins MC","Insects","2019","2020/01/08","PMC7022478","","10.3390/insects11010028"
"30290799","Shady business: understanding the spatial ecology of exophilic Anopheles mosquitoes","Debebe Y, Hill SR, Tekie H, Ignell R, Hopkins RJ.","Malar J. 2018 Oct 5;17(1):351. doi: 10.1186/s12936-018-2499-7.","Debebe Y","Malar J","2018","2018/10/07","PMC6173902","","10.1186/s12936-018-2499-7"
"26086804","Landscape Effects on the Presence, Abundance and Diversity of Mosquitoes in Mediterranean Wetlands","Roiz D, Ruiz S, Soriguer R, Figuerola J.","PLoS One. 2015 Jun 18;10(6):e0128112. doi: 10.1371/journal.pone.0128112. eCollection 2015.","Roiz D","PLoS One","2015","2015/06/19","PMC4472724","","10.1371/journal.pone.0128112"
"29495129","Ecological determinants of avian malaria infections: An integrative analysis at landscape, mosquito and vertebrate community levels","Ferraguti M, Martínez-de la Puente J, Bensch S, Roiz D, Ruiz S, Viana DS, Soriguer RC, Figuerola J.","J Anim Ecol. 2018 May;87(3):727-740. doi: 10.1111/1365-2656.12805. Epub 2018 Mar 1.","Ferraguti M","J Anim Ecol","2018","2018/03/02","","","10.1111/1365-2656.12805"
"31050133","Innovative approaches to exploit host plant metabolites in malaria control","Torto B.","Pest Manag Sci. 2019 Sep;75(9):2341-2345. doi: 10.1002/ps.5460. Epub 2019 May 31.","Torto B","Pest Manag Sci","2019","2019/05/04","","","10.1002/ps.5460"
"30150281","Comprehensive innate immune profiling of chikungunya virus infection in pediatric cases","Michlmayr D, Pak TR, Rahman AH, Amir ED, Kim EY, Kim-Schulze S, Suprun M, Stewart MG, Thomas GP, Balmaseda A, Wang L, Zhu J, Suaréz-Fariñas M, Wolinsky SM, Kasarskis A, Harris E.","Mol Syst Biol. 2018 Aug 27;14(8):e7862. doi: 10.15252/msb.20177862.","Michlmayr D","Mol Syst Biol","2018","2018/08/29","PMC6110311","","10.15252/msb.20177862"
"30940142","Effects of anthropogenic landscape changes on the abundance and acrodendrophily of Anopheles (Kerteszia) cruzii, the main vector of malaria parasites in the Atlantic Forest in Brazil","Medeiros-Sousa AR, de Oliveira Christe R, de Castro Duarte AMR, Mucci LF, Ceretti-Junior W, Marrelli MT.","Malar J. 2019 Apr 2;18(1):110. doi: 10.1186/s12936-019-2744-8.","Medeiros-Sousa AR","Malar J","2019","2019/04/04","PMC6444577","","10.1186/s12936-019-2744-8"
"29898985","The Unique Phylogenetic Position of a Novel Tick-Borne Phlebovirus Ensures an Ixodid Origin of the Genus Phlebovirus","Matsuno K, Kajihara M, Nakao R, Nao N, Mori-Kajihara A, Muramatsu M, Qiu Y, Torii S, Igarashi M, Kasajima N, Mizuma K, Yoshii K, Sawa H, Sugimoto C, Takada A, Ebihara H.","mSphere. 2018 Jun 13;3(3):e00239-18. doi: 10.1128/mSphere.00239-18. Print 2018 Jun 27.","Matsuno K","mSphere","2018","2018/06/15","PMC6001614","","10.1128/mSphere.00239-18"
"26475244","The host effects of Gambusia affinis with an antibiotic-disrupted microbiome","Carlson JM, Hyde ER, Petrosino JF, Manage ABW, Primm TP.","Comp Biochem Physiol C Toxicol Pharmacol. 2015 Dec;178:163-168. doi: 10.1016/j.cbpc.2015.10.004. Epub 2015 Oct 18.","Carlson JM","Comp Biochem Physiol C Toxicol Pharmacol","2015","2015/10/18","","","10.1016/j.cbpc.2015.10.004"
"31847345","Ecology of West Nile Virus in the Danube Delta, Romania: Phylogeography, Xenosurveillance and Mosquito Host-Feeding Patterns","Tomazatos A, Jansen S, Pfister S, Török E, Maranda I, Horváth C, Keresztes L, Spînu M, Tannich E, Jöst H, Schmidt-Chanasit J, Cadar D, Lühken R.","Viruses. 2019 Dec 14;11(12):1159. doi: 10.3390/v11121159.","Tomazatos A","Viruses","2019","2019/12/19","PMC6950446","","10.3390/v11121159"
"27759165","Mosquitoes of field and forest: the scale of habitat segregation in a diverse mosquito assemblage","Reiskind MH, Griffin RH, Janairo MS, Hopperstad KA.","Med Vet Entomol. 2017 Mar;31(1):44-54. doi: 10.1111/mve.12193. Epub 2016 Oct 19.","Reiskind MH","Med Vet Entomol","2017","2016/10/21","","","10.1111/mve.12193"
"29898780","Evaluation of resting traps to examine the behaviour and ecology of mosquito vectors in an area of rapidly changing land use in Sabah, Malaysian Borneo","Brown R, Hing CT, Fornace K, Ferguson HM.","Parasit Vectors. 2018 Jun 14;11(1):346. doi: 10.1186/s13071-018-2926-1.","Brown R","Parasit Vectors","2018","2018/06/15","PMC6000972","","10.1186/s13071-018-2926-1"
"31114946","Aedes Mosquito Infestation in Socioeconomically Contrasting Neighborhoods of Panama City","Whiteman A, Gomez C, Rovira J, Chen G, McMillan WO, Loaiza J.","Ecohealth. 2019 Jun;16(2):210-221. doi: 10.1007/s10393-019-01417-3. Epub 2019 May 21.","Whiteman A","Ecohealth","2019","2019/05/23","","","10.1007/s10393-019-01417-3"
"28438914","Does deforestation promote or inhibit malaria transmission in the Amazon? A systematic literature review and critical appraisal of current evidence","Tucker Lima JM, Vittor A, Rifai S, Valle D.","Philos Trans R Soc Lond B Biol Sci. 2017 Jun 5;372(1722):20160125. doi: 10.1098/rstb.2016.0125.","Tucker Lima JM","Philos Trans R Soc Lond B Biol Sci","2017","2017/04/26","PMC5413873","","10.1098/rstb.2016.0125"
"29554980","Hydrological features and the ecological niches of mammalian hosts delineate elevated risk for Ross River virus epidemics in anthropogenic landscapes in Australia","Walsh MG, Webb C.","Parasit Vectors. 2018 Mar 20;11(1):192. doi: 10.1186/s13071-018-2776-x.","Walsh MG","Parasit Vectors","2018","2018/03/21","PMC5859420","","10.1186/s13071-018-2776-x"
"30286722","Estimating bacteria diversity in different organs of nine species of mosquito by next generation sequencing","Mancini MV, Damiani C, Accoti A, Tallarita M, Nunzi E, Cappelli A, Bozic J, Catanzani R, Rossi P, Valzano M, Serrao A, Ricci I, Spaccapelo R, Favia G.","BMC Microbiol. 2018 Oct 4;18(1):126. doi: 10.1186/s12866-018-1266-9.","Mancini MV","BMC Microbiol","2018","2018/10/06","PMC6172810","","10.1186/s12866-018-1266-9"
"31053334","The Coevolution Effect as a Driver of Spillover","Zohdy S, Schwartz TS, Oaks JR.","Trends Parasitol. 2019 Jun;35(6):399-408. doi: 10.1016/j.pt.2019.03.010. Epub 2019 Apr 30.","Zohdy S","Trends Parasitol","2019","2019/05/05","","","10.1016/j.pt.2019.03.010"
"27833907","Effect of Deforestation and Land Use Changes on Mosquito Productivity and Development in Western Kenya Highlands: Implication for Malaria Risk","Kweka EJ, Kimaro EE, Munga S.","Front Public Health. 2016 Oct 26;4:238. doi: 10.3389/fpubh.2016.00238. eCollection 2016.","Kweka EJ","Front Public Health","2016","2016/11/12","PMC5080343","","10.3389/fpubh.2016.00238"
"28095405","Defining the Risk of Zika and Chikungunya Virus Transmission in Human Population Centers of the Eastern United States","Manore CA, Ostfeld RS, Agusto FB, Gaff H, LaDeau SL.","PLoS Negl Trop Dis. 2017 Jan 17;11(1):e0005255. doi: 10.1371/journal.pntd.0005255. eCollection 2017 Jan.","Manore CA","PLoS Negl Trop Dis","2017","2017/01/18","PMC5319773","","10.1371/journal.pntd.0005255"
"30927267","Integrating social and ecological data to model metapopulation dynamics in coupled human and natural systems","Van Schmidt ND, Kovach T, Kilpatrick AM, Oviedo JL, Huntsinger L, Hruska T, Miller NL, Beissinger SR.","Ecology. 2019 Jun;100(6):e02711. doi: 10.1002/ecy.2711. Epub 2019 Apr 30.","Van Schmidt ND","Ecology","2019","2019/03/31","","","10.1002/ecy.2711"
"26190071","Mosquitoes Use Vision to Associate Odor Plumes with Thermal Targets","van Breugel F, Riffell J, Fairhall A, Dickinson MH.","Curr Biol. 2015 Aug 17;25(16):2123-9. doi: 10.1016/j.cub.2015.06.046. Epub 2015 Jul 16.","van Breugel F","Curr Biol","2015","2015/07/21","PMC4546539","NIHMS705197","10.1016/j.cub.2015.06.046"
"29358725","Fine-scale landscape genomics helps explain the slow spatial spread of Wolbachia through the Aedes aegypti population in Cairns, Australia","Schmidt TL, Filipović I, Hoffmann AA, Rašić G.","Heredity (Edinb). 2018 May;120(5):386-395. doi: 10.1038/s41437-017-0039-9. Epub 2018 Jan 23.","Schmidt TL","Heredity (Edinb)","2018","2018/01/24","PMC5889405","","10.1038/s41437-017-0039-9"
"31091236","Malaria vector species in Amazonian Peru co-occur in larval habitats but have distinct larval microbial communities","Prussing C, Saavedra MP, Bickersmith SA, Alava F, Guzmán M, Manrique E, Carrasco-Escobar G, Moreno M, Gamboa D, Vinetz JM, Conn JE.","PLoS Negl Trop Dis. 2019 May 15;13(5):e0007412. doi: 10.1371/journal.pntd.0007412. eCollection 2019 May.","Prussing C","PLoS Negl Trop Dis","2019","2019/05/16","PMC6538195","","10.1371/journal.pntd.0007412"
"29757518","Mosquito species composition and phenology (Diptera, Culicidae) in two German zoological gardens imply different risks of mosquito-borne pathogen transmission","Heym EC, Kampen H, Walther D.","J Vector Ecol. 2018 Jun;43(1):80-88. doi: 10.1111/jvec.12286.","Heym EC","J Vector Ecol","2018","2018/05/15","","","10.1111/jvec.12286"
"30984975","Ability of Two Commercially Available Host-Targeted Technologies to Reduce Abundance of Ixodes scapularis (Acari: Ixodidae) in a Residential Landscape","Jordan RA, Schulze TL.","J Med Entomol. 2019 Jun 27;56(4):1095-1101. doi: 10.1093/jme/tjz046.","Jordan RA","J Med Entomol","2019","2019/04/16","","","10.1093/jme/tjz046"
"31446550","Life History Traits and Predatory Performance of Belostoma anurum (Hemiptera: Belostomatidae), a Biological Control Agent of Disease Vector Mosquitoes","Valbon WR, Haddi K, Gutiérrez Y, Cruz FM, Azevedo KEX, Perez Campos JS, Salaro AL, Oliveira EE.","Neotrop Entomol. 2019 Dec;48(6):899-908. doi: 10.1007/s13744-019-00710-8. Epub 2019 Aug 24.","Valbon WR","Neotrop Entomol","2019","2019/08/26","","","10.1007/s13744-019-00710-8"
"26400195","Estimating malaria transmission from humans to mosquitoes in a noisy landscape","Reiner RC Jr, Guerra C, Donnelly MJ, Bousema T, Drakeley C, Smith DL.","J R Soc Interface. 2015 Oct 6;12(111):20150478. doi: 10.1098/rsif.2015.0478.","Reiner RC Jr","J R Soc Interface","2015","2015/09/25","PMC4614487","","10.1098/rsif.2015.0478"
"31249694","Novel insights into endogenous RNA viral elements in Ixodes scapularis and other arbovirus vector genomes","Russo AG, Kelly AG, Enosi Tuipulotu D, Tanaka MM, White PA.","Virus Evol. 2019 Jun 18;5(1):vez010. doi: 10.1093/ve/vez010. eCollection 2019 Jan.","Russo AG","Virus Evol","2019","2019/06/29","PMC6580184","","10.1093/ve/vez010"
"25775236","Xenosurveillance: a novel mosquito-based approach for examining the human-pathogen landscape","Grubaugh ND, Sharma S, Krajacich BJ, Fakoli LS III, Bolay FK, Diclaro JW II, Johnson WE, Ebel GD, Foy BD, Brackney DE.","PLoS Negl Trop Dis. 2015 Mar 16;9(3):e0003628. doi: 10.1371/journal.pntd.0003628. eCollection 2015 Mar.","Grubaugh ND","PLoS Negl Trop Dis","2015","2015/03/17","PMC4361501","","10.1371/journal.pntd.0003628"
"24582661","The genetics of chemoreception in the labella and tarsi of Aedes aegypti","Sparks JT, Bohbot JD, Dickens JC.","Insect Biochem Mol Biol. 2014 May;48:8-16. doi: 10.1016/j.ibmb.2014.02.004. Epub 2014 Feb 26.","Sparks JT","Insect Biochem Mol Biol","2014","2014/03/04","","","10.1016/j.ibmb.2014.02.004"
"29216248","Effect of land-use changes on the abundance, distribution, and host-seeking behavior of Aedes arbovirus vectors in oil palm-dominated landscapes, southeastern Côte d'Ivoire","Zahouli JBZ, Koudou BG, Müller P, Malone D, Tano Y, Utzinger J.","PLoS One. 2017 Dec 7;12(12):e0189082. doi: 10.1371/journal.pone.0189082. eCollection 2017.","Zahouli JBZ","PLoS One","2017","2017/12/08","PMC5720743","","10.1371/journal.pone.0189082"
"29884176","Household-level and surrounding peri-domestic environmental characteristics associated with malaria vectors Anopheles arabiensis and Anopheles funestus along an urban-rural continuum in Blantyre, Malawi","Dear NF, Kadangwe C, Mzilahowa T, Bauleni A, Mathanga DP, Duster C, Walker ED, Wilson ML.","Malar J. 2018 Jun 8;17(1):229. doi: 10.1186/s12936-018-2375-5.","Dear NF","Malar J","2018","2018/06/10","PMC5994107","","10.1186/s12936-018-2375-5"
"25116627","Does malaria epidemiology project Cameroon as 'Africa in miniature'?","Mbenda HG, Awasthi G, Singh PK, Gouado I, Das A.","J Biosci. 2014 Sep;39(4):727-38. doi: 10.1007/s12038-014-9451-y.","Mbenda HG","J Biosci","2014","2014/08/14","","","10.1007/s12038-014-9451-y"
"19737082","Landscape epidemiology of vector-borne diseases","Reisen WK.","Annu Rev Entomol. 2010;55:461-83. doi: 10.1146/annurev-ento-112408-085419.","Reisen WK","Annu Rev Entomol","2010","2009/09/10","","","10.1146/annurev-ento-112408-085419"
"30103825","Changes in malaria vector bionomics and transmission patterns in the equatorial forest region of Cameroon between 2000 and 2017","Bamou R, Mbakop LR, Kopya E, Ndo C, Awono-Ambene P, Tchuinkam T, Rono MK, Mwangangi J, Antonio-Nkondjio C.","Parasit Vectors. 2018 Aug 13;11(1):464. doi: 10.1186/s13071-018-3049-4.","Bamou R","Parasit Vectors","2018","2018/08/15","PMC6090627","","10.1186/s13071-018-3049-4"
"25879960","Endogenous siRNAs and piRNAs derived from transposable elements and genes in the malaria vector mosquito Anopheles gambiae","Biryukova I, Ye T.","BMC Genomics. 2015 Apr 10;16(1):278. doi: 10.1186/s12864-015-1436-1.","Biryukova I","BMC Genomics","2015","2015/04/17","PMC4423592","","10.1186/s12864-015-1436-1"
"20466925","The selection landscape of malaria parasites","Mackinnon MJ, Marsh K.","Science. 2010 May 14;328(5980):866-71. doi: 10.1126/science.1185410.","Mackinnon MJ","Science","2010","2010/05/15","","","10.1126/science.1185410"
"27790610","Impact of Highland Topography Changes on Exposure to Malaria Vectors and Immunity in Western Kenya","Wanjala CL, Kweka EJ.","Front Public Health. 2016 Oct 14;4:227. doi: 10.3389/fpubh.2016.00227. eCollection 2016.","Wanjala CL","Front Public Health","2016","2016/10/30","PMC5063849","","10.3389/fpubh.2016.00227"
